Unnamed: 0,RecipeId,Name,CookTime,PrepTime,TotalTime,RecipeIngredientParts,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeInstructions
14827,25099,Chicken Curry,25.0,15.0,40,"c(""flour"", ""salt"", ""black pepper"", ""boneless chicken breasts"", ""onions"", ""granny smith apple"", ""curry powder"", ""tomato paste"", ""golden raisin"", ""cilantro"", ""parsley"", ""cooked rice"")",597.5,31.5,6.8,112.6,996.2,38.9,4.5,20.6,41.5,"c(""Toss chicken pieces in flour, salt, pepper & chili flakes."", ""Heat 2 1/2 T oil in dutch oven or large skillet."", ""Brown chicken well."", ""Add red pepper, onion, apple, curry."", ""Add oil if needed."", ""Reduce heat; cook, stirring frequently, until onion is soft & transparent."", ""Combine stock & tomato paste& add to chicken."", ""Add raisins; simmer, stirring occasionally,until chicken is cooked& sauce thick, about 25 minutes."", ""Can be served with chutney, chopped peanuts or almonds, scallions."")"
15246,25690,Pancakes,5.0,5.0,10,"c(""egg"", ""milk"", ""butter"", ""margarine"", ""flour"", ""sugar"", ""baking powder"", ""salt"")",99.8,4.0,2.3,30.3,210.2,13.1,0.4,1.5,2.8,"c(""Beat egg until fluffy."", ""Add milk and melted margarine."", ""Add dry ingredients and mix well."", ""Heat a heavy griddle or fry pan which is greased with a little butter on a paper towel."", ""The pan is hot enough when a drop of water breaks into several smaller balls which 'dance' around the pan."", ""Pour a small amount of batter (approx 1/4 cup) into pan and tip to spread out or spread with spoon."", ""When bubbles appear on surface and begin to break, turn over and cook the other side."")"
15895,26637,French Toast,30.0,10.0,40,"c(""whole wheat pastry flour"", ""nutritional yeast"", ""salt"", ""ground cinnamon"", ""ground nutmeg"", ""plain soymilk"", ""vanilla-flavored soymilk"")",107.2,2.1,0.4,0.0,267.2,18.6,3.1,1.8,5.2,"c(""Place the dry ingredients in a medium mixting bowl and whisk until well blended."", ""Pout the milk into the flour and whisk vigorously until well blended."", ""Let the batter sit for 10 minutes."", ""Oil a skillet or griddle and heat it over medium-high."", ""Mix the batter again."", ""Dip the bread slices, one at a time, into the batter, making sure that both sides are well saturated."", ""Cook 3 to 5 minutes until the bottom is lightly browned, then turn over and cook the other side until browned."")"
16398,27383,Chicken Curry,45.0,15.0,60,"c(""onions"", ""butter"", ""garlic"", ""ginger"", ""green chili peppers"", ""tomatoes"", ""tomato paste"", ""methi seeds"", ""salt"", ""turmeric"", ""garam masala"", ""skinless chicken thighs"", ""chicken legs"", ""water"")",75.0,5.1,3.2,13.1,730.5,7.1,1.4,3.3,1.3,"c(""In a large pot, sauté onions in butter on medium high heat."", ""Add in whole garlic cloves once onions are transparent."", ""In a food processor, finely chop ginger and chili peppers."", ""Add to onion mixture and continue to cook for 5 minutes."", ""Place mixture in food processor and pulse until mixed."", ""Return mixture to stove. Add in chopped tomatoes and tomato paste."", ""Continue to cook a few minutes longer, until butter is released from mixture."", ""Add in methi, red pepper, salt, turmeric, masala and chicken pieces."", 
""Mix to coat chicken."", ""Cover and stir occasionally until chicken is thoroughly cooked, about 20 to 30 minutes."", ""Once chicken is cooked, add just enough water so that chicken is almost, but not quite covered."", ""Simmer a further 15 to 20 minutes until a slight discoloration to the curry appears on top."", ""Can be eaten on a bed of rice or with Indian bread (chapatti or naan)."")"
18072,29876,Chai,15.0,5.0,20,"c(""black tea"", ""cardamom seeds"", ""cinnamon sticks"", ""granulated sugar"", ""ground pepper"", ""milk"")",48.9,0.0,0.0,0.0,0.0,12.6,0.0,12.6,0.0,"c(""Bring 1 1/2 quarts of water to a boil."", ""Add tea, cardamom, cinnamon, and pepper."", ""Return to a boil."", ""Add sugar and remove from heat."", ""Cover and let stand 5 minutes to steep."", ""Serve with milk to taste."")"
18222,30097,Chicken Wings,30.0,30.0,60,"c(""chicken wings"", ""water"", ""salt"", ""garlic"")",84.0,6.0,1.7,29.1,27.6,0.0,0.0,0.0,6.9,"c(""COVER CHICKEN WITH WATER SALT AND GARLIC."", ""AFTER THEY START TO BOILCOOK FOR 20 MINUTES."", ""DRAIN IN COLANDER."", ""WHILE HOT ROLL IN ITALIAN BREAD CRUMBS AND GARLIC SALT."", ""LAY ON A COOKIE SHEET TILL COOL."", ""PACKAGE FOR FREEZER."", ""TO COOK PUT IN DEEP FRY OR SKILLET WITH OIL UNTIL GOLDEN BROWN."", ""DELICIOUS."")"
20972,34032,Chai,10.0,5.0,15,"c(""water"", ""cardamom"", ""black peppercorns"", ""fresh ginger"", ""cinnamon stick"", ""cloves"", ""milk"", ""sugar"", ""black tea"")",89.5,3.1,1.9,11.4,46.3,13.3,0.3,8.4,2.8,"c(""Put the water in a saucepan, add the spices, and bring to a low boil."", ""Turn down the heat and let simmer for 4 to 10 minutes."", ""Add milk and sugar and bring to a heavy simmer."", ""Add tea, turn off the heat, and let steep for 2 to 3 minutes."", ""Strain into two cups and serve hot."")"
23353,37463,Butter Chicken,30.0,10.0,40,"c(""chicken"", ""canned tomatoes"", ""onions"", ""plain low-fat yogurt"", ""ghee"", ""fresh cilantro"", ""bay leaves"", ""cinnamon stick"", ""cloves"", ""green cardamom pods"", ""ginger"", ""garlic"", ""chili powder"", ""garam masala"", ""salt"")",362.2,25.3,7.8,89.1,672.4,11.1,2.4,6.1,23.4,"c(""Put the yogurt, almonds, dry spices, ginger, garlic, tomatoes and salt into a mixing bowl and blend together thoroughly."", ""Put the chicken into a large mixing bowl and pour the yogurt mixture over it."", ""Set aside."", ""Melt together the ghee and oil in a medium-sized wok or deep round-bottomed skillet."", ""Add the onions and stir-fry for about 3 minutes."", ""Add the chicken mixture and stir-fry for 7-10 minutes."", ""Stir in about half the cilantro and mix well."", ""Bring to a boil, then reduce heat and simmer until desired consistency is reached."", 
""Remove bay leaves and cinnamon stick."", ""Serve garnished with remaining cilantro."")"
26207,41816,Chicken Curry,35.0,90.0,125,"c(""onions"", ""Madras curry powder"", ""ground ginger"", ""ground cloves"", ""cinnamon stick"", ""sugar"", ""white wine vinegar"", ""garlic"", ""spinach"", ""chicken breasts"", ""tomatoes with juice"")",328.2,14.8,4.2,96.1,502.1,15.6,3.9,6.9,33.8,"c(""Pre-heat oven to 200°C."", ""Roast onions for one hour."", ""Using a food processor chop onions finely."", ""Now grind cinamon finely and add to onions."", ""Add ginger, cloves, vinegar, garlic and curry powder."", ""Blend untill a reasonably thick paste is formed."", ""Chop chicken into cubes and fry in a non stick wok for 2 minutes."", ""Add paste, mix and cook for another 2 minutes at a highish temperature."", ""Blend tomatoes and add to the wok, mix and then reduce heat to a simmer."", ""Mix 200ml of boiling water with the 1/2 stock cube and add as much to the curry as you can without making the sauce too watery."", 
""Then add the sugar."", ""Leave to simmer for 30 minutes."", ""2 minutes from the end add the chopped spinach."", ""Then serve with ice cold beer."")"
27066,43143,Waffles,30.0,10.0,40,"c(""flour"", ""milk"", ""eggs"", ""sugar"", ""baking powder"", ""salt"", ""butter"")",333.8,15.7,9.3,101.1,531.1,39.5,1.1,4.4,8.5,"c(""Sift flour, sugar, salt and baking powder into mixing bowl."", ""Beat egg yolks well and add milk, continue beating slowly adding the sifted flour mixture, beating until completely smooth."", ""Mix in melted butter."", ""Beat egg whites until stiff and gently fold into batter."", ""Cook in preheated waffle maker."", ""Also makes great pancakes!"")"
28612,45541,Chicken Curry,15.0,15.0,30,"c(""butter"", ""onions"", ""tart apple"", ""flour"", ""curry powder"", ""ground ginger"", ""cayenne pepper"", ""half-and-half"", ""chicken"")",233.4,19.4,11.8,54.7,193.2,11.6,0.7,2.2,4.2,"c(""In skillet melt butter and sauté onion and apple until the onion is soft."", ""Blend in flour, curry, ginger and cayenne."", ""Cook and stir for about 2 minutes."", ""Add stock and cream, stirring to blend."", ""Cook for roughly 10 minutes--when sauce begins to thicken add chicken and salt and pepper to taste."", ""Serve over steamed rice with golden raisins, peanuts, or shaved coconut as condiments."")"
29328,46630,Waffles,5.0,15.0,20,"c(""eggs"", ""buttermilk"", ""all-purpose flour"", ""baking powder"", ""baking soda"", ""salt"", ""shortening"")",259.2,15.3,4.1,81.2,468.5,23.5,0.7,2.4,6.7,"c(""Whip the egg whites until they form moist peaks."", ""Set aside."", ""*."", ""Beat egg yolks."", ""Beat in remaining ingredients with a rotary beater until smooth."", ""Fold in the egg whites."", ""Pour batter from a cup or pitcher into the center of a hot waffle iron."", ""Do not overfill the waffle iron, the batter will expand as it cooks."", ""Bake about 5 minutes or until steaming stops."", ""*Ifyou are in a hurry, you can eliminate this step and just use the whole egg in the batter."")"
30376,48285,Spring Rolls,12.0,35.0,47,"c(""dried mushrooms"", ""garlic clove"", ""fresh ginger"", ""pork"", ""Chinese cabbage"", ""white radish"", ""water chestnuts"", ""bamboo shoot"", ""bean sprouts"", ""spring onions"", ""soy sauce"", ""oyster sauce"", ""salt"", ""cornflour"")",125.1,4.3,0.9,27.8,369.8,13.9,1.1,1.0,7.7,"c(""Cover mushrooms with hot water for 20 minutes."", ""Remove stalks and chop mushrooms."", ""Heat peanut and sesame oil in a wok and slowly fry garlic and ginger for a few seconds."", ""Add pork and fry until it changes colour."", ""Add prawns and continue stirring and frying until they are cooked."", ""Add prepared vegetables, soy sauce,oyster sauce and salt,combine thoroughly. Push mixture to one side and tilt wok so liquid gathers."", ""Stir in corn flour which has been mixed with a little cold water until smooth."", 
""Cook, stirring continuously, until thick."", ""Remove wok from heat and mix thickened liquid through the filling."", ""Allow to cool completely."", ""Place 2 tablespoons of the mixture at one end of each spring roll wrapper and roll up, turning in the sides so that the filling is completely enclosed."", ""Dampen edges with water or a mixture of corn flour and water and press to seal."", ""Fry one or two at a time in deep hot oil until golden brown."", ""Drain on absorbent paper and serve with chili sauce (if desired).""
)"
31761,50448,Waffles,15.0,15.0,30,"c(""all-purpose flour"", ""sugar"", ""baking powder"", ""salt"", ""eggs"", ""buttermilk"")",223.2,8.9,1.6,55.3,273.2,28.6,0.8,4.7,6.8,"c(""Preheat waffle baker."", ""Sift together flour, sugar, baking powder, and salt."", ""In a large bowl, beat together egg yolks, buttermilk, and oil."", ""Add dry ingredients and beat in until smooth."", ""In a separate bowl, beat egg whites until stiff."", ""Fold into batter."", ""Pour 1/4 of batter onto hot waffle grids."", ""Close waffle baker."", ""When steam no longer comes from waffle baker, waffles should be golden brown and ready to serve."", ""Repeat last 2 steps until batter is used up."")"
33718,53288,French Toast,10.0,3.0,13,"c(""nonfat milk"", ""vanilla"", ""Equal sugar substitute"")",27.2,0.1,0.0,0.6,54.0,2.1,0.0,2.1,3.7,"c(""Spray griddle/or pan with pam."", ""Mix All ingredients except bread."", ""Beat with wire whisk so that sugar is incorporated into mixture."", ""Dip bread into mixture and then brown on both sides."", ""Serve with sugar free maple syrup or topping of choice."")"
34073,53825,Chicken Curry,25.0,15.0,40,"c(""extra virgin olive oil"", ""potato"", ""chicken breast"", ""green pepper"", ""tomatoes"", ""water"", ""curry paste"")",176.5,7.0,1.5,23.2,49.2,18.9,2.9,2.2,10.0,"c(""Cut the potato into cubes and boil."", ""Saute oil, chicken and pepper until chicken starts to brown."", ""Add tomato, can of soup, water and curry paste and simmer."", ""When potatoes are soft, add to curry, simmer 10 more minutes and serve."")"
38033,59791,French Toast,15.0,5.0,20,"c(""eggs"", ""milk"", ""sugar"", ""vanilla extract"", ""salt"", ""butter"")",362.4,20.2,10.6,225.1,603.3,32.5,1.2,6.2,12.3,"c(""Beat eggs with milk."", ""Stir in sugar, vanilla, orange juice, and salt until well combined."", ""Heat about 2 tsp.of butter in a skillet on medium-high heat."", ""Dip bread in egg mixture and lay in butter.(not you-the bread!)."", ""Reduce heat to medium and cook bread a few minutes on each side until golden brown."", ""(My pan holds 2 pieces at a time.) Repeat with remaining bread, adding more butter to skillet, as needed."")"
38974,61200,Onion Rings,15.0,35.0,50,"c(""sweet onions"", ""baking powder"", ""all-purpose flour"", ""salt"", ""egg"", ""water"", ""lemon juice"", ""butter"")",127.6,3.0,1.5,36.1,509.8,21.5,1.5,2.5,3.8,"c(""Soak onion rings in ice water for 30 minutes; pat dry with paper towels and set aside."", ""Sift baking powder, flour and salt together; set aside."", ""Combine egg, water and lemon juice; beat well."", ""Stir into flour mixture until just blended; add butter."", ""Dip onion rings into batter; drop into 375-degree oil and fry 2 minutes on each side."", ""Drain on paper towels."")"
42387,66327,Pancakes,10.0,5.0,15,"c(""flour"", ""egg"", ""milk"", ""salt"", ""butter"", ""margarine"")",227.6,5.0,2.4,73.4,64.3,35.7,1.1,0.2,9.1,"c(""Combine flour, egg, milk and salt (if using) in large measuring cup or bowl."", ""To save on dishes I use the same measuring cup that I use to measure the milk."", ""Let mixture sit for 30 minutes or longer."", ""Heat skillet over med high heat and Melt 1 TB butter or margarine."", ""Pour in 2-3 TB of pancake mixture in hot skillet for each pancake (pancakes should be small and thin)."", ""Cook until small bubbles form, turn and cook other side."", ""These cook very quickly."", ""Serve with butter and maple syrup.""
)"
42779,66876,French Toast,15.0,15.0,30,"c(""low-fat milk"", ""sugar"", ""vanilla essence"", ""eggs"", ""caster sugar"", ""butter"")",291.9,15.4,8.6,139.3,313.8,31.6,0.6,20.1,7.2,"c(""Boil milk with sugar and essence."", ""Remove from heat."", ""Set aside."", ""Soak bread slices in milk for a few seconds without letting bread fall apart."", ""Then dip bread slices one at a time in beaten eggs."", ""Heat butter in a pan."", ""Fry the slices in the butter."", ""When golden in colour, turn the bread slices over and cook the other side."", ""Arrange the slices in a serving dish."", ""Sprinkle some castor sugar over the slices."", ""Serve warm."")"
52706,82374,Onion Rings,20.0,20.0,40,"c(""plain flour"", ""egg"", ""milk"", ""water"", ""onions"")",41.8,0.9,0.4,22.4,12.1,6.7,0.4,0.7,1.7,"c(""Put the flour, egg yolk, milk and water in the liquidiser and blend until smooth."", ""Pour into a bowl."", ""Whisk the egg white and fold into the batter."", ""Heat oil in a deep pan."", ""Dip the onion rings in the batter and coat evenly."", ""Fry till the rings are golden brown."", ""Drain on clean paper towels."", ""Serve alongside hot and spicy chicken!"")"
53315,83324,French Toast,5.0,10.0,15,"c(""white sugar"", ""eggs"", ""heavy cream"", ""vanilla"")",208.8,9.2,4.3,137.4,204.2,24.9,0.8,9.3,6.5,"c(""Mix vanilla, eggs, sugar, and cream to blend well."", ""Place egg bread slices into mixture to soak for 3 minutes or until thoroughly moist."", ""Coat both sides of moistened bread with the crumbs."", ""Melt a small dab of margarine in a large heavy pan."", ""Add bread slices and brown well on both sides, add more butter or margarine to pan when necessary, just to prevent sticking."")"
53979,84324,Aloo Gobi,40.0,20.0,60,"c(""onion"", ""fresh coriander"", ""green chili"", ""cauliflower"", ""potatoes"", ""diced tomatoes"", ""fresh ginger"", ""fresh garlic"", ""cumin seed"", ""turmeric"", ""salt"", ""garam masala"")",215.9,7.5,1.0,0.0,335.1,34.4,6.4,5.7,5.7,"c(""Heat vegetable oil in a large saucepan."", ""Add the chopped onion and one teaspoon of cumin seeds to the oil."", ""Stir together and cook until onions become creamy, golden, and translucent."", ""Add chopped coriander stalks, two teaspoons of turmeric, and one teaspoon of salt."", ""Add chopped chillis (according to taste) Stir tomatoes into onion mixture."", ""Add ginger and garlic; mix thoroughly."", ""Add potatoes and cauliflower to the sauce plus a few tablespoons of water (ensuring that the mixture doesn't stick to the saucepan)."", 
""Ensure that the potatoes and cauliflower are coated with the curry sauce."", ""Cover and allow to simmer for twenty minutes (or until potatoes are cooked)."", ""Add two teaspoons of Garam Masala and stir."", ""Sprinkle chopped coriander leaves on top of the curry."", ""Turn off the heat, cover, and leave for as long as possible before serving."")"
56881,88631,Chicken Wings,180.0,20.0,200,"c(""ketchup"", ""vinegar"", ""mustard"", ""brown sugar"", ""Worcestershire sauce"", ""soy sauce"")",125.3,0.1,0.0,0.0,268.5,31.9,0.1,31.0,0.4,"c(""Cut chicken wings in 1/2 and brown in 1 Tbsp."", ""butter."", ""Place them in a large pan."", ""In a separate mixing bowl combine vinegar, mustard, brown sugar, worchesterschire sauce and soy sauce."", ""Pour the sauce over the wings."", ""Bake 3 to 4 hours at 350 degrees."", ""You can usually buy the frozen mini wings that are great and taste just as good."")"
57610,89700,French Fries,30.0,10.0,40,"c(""baking potatoes"", ""canola oil"", ""seasoning salt"")",197.5,0.2,0.1,0.0,9.1,45.7,4.1,2.0,4.2,"c(""Bring a large pot of water to a boil."", ""Blanch (boil) the potato strips in the water for 2 minutes."", ""Remove the potato strips from the water and set aside."", ""Meanwhile, heat about 2 inches of oil in a wok or a very VERY large saucepan to 350 degrees Fahrenheit."", ""CAUTION: Do not fill your pan even close to the top; your oil will expand during cooking and will catch fire if it pours out."", ""Fry the potato strips, in small batches, for about 5 minutes or until golden brown."", ""Drain on paper towels."", 
""Sprinkle with the seasoning salt as soon as they come out of the oil."", ""Cooking Tip: You can keep your cooked batches of fries hot while you are still frying the others by putting them in a preheated 250 degree Fahrenheit oven."")"
59295,92211,Onion Rings,70.0,15.0,85,"c(""egg"", ""onions"", ""all-purpose flour"", ""beer"", ""salt"", ""butter"")",234.5,4.5,2.3,60.5,335.2,39.4,2.8,6.1,6.3,"c(""Beat the egg."", ""Combine egg with flour and beer in a mixing bowl."", ""Stir well."", ""Add salt and butter."", ""Mix everything."", ""Let stand for one hour."", ""Slice the onions."", ""Dip onions into batter."", ""Drop onions into fryer."", ""Cook until golden brown."")"
63960,98975,French Toast,15.0,15.0,30,"c(""egg"", ""sugar"", ""milk"")",216.9,6.4,2.5,114.3,405.4,30.4,1.2,4.5,9.0,"c(""Beat the egg in a bowl until light and fluffy."", ""Add the milk and mix well."", ""Stir in the sugar."", ""Then, dip each bread slice in this mixture."", ""Heat oil in a pan."", ""Fry the bread slices one by one in the hot oil, until cooked on either side."", ""Remove from pan, drain out excess oil on paper towels and serve hot."", ""Enjoy!"")"
64899,100346,Waffles,15.0,5.0,20,"c(""eggs"", ""milk"", ""all-purpose flour"", ""baking powder"", ""salt"", ""butter"")",470.8,22.1,12.5,209.6,854.6,53.4,1.7,0.5,14.3,"c(""Beat yolks."", ""Stir in milk."", ""Combine dry ingredients and stir into the yolk mixture."", ""Stir in the melted butter."", ""Beat egg whites until stiff and fold into batter."", ""Cook in a waffle iron according to manufacturers directions."")"
